sub,kind,target_x0,target_y0,response_x0,response_y0,target_orientation_deg,target_radius_pixels,which_eye,sub_num,match_x0,match_y0,response_r,response_theta,match_r,match_theta,target_radius_deg,target_ori_id,target_rad_id,target_id,error_x,error_y,error_r,error_theta,error_r_mu,error_r_sd
hb,A,1.14318,2.77182,-0.89262,-2.9754,67,192,bad,4,-1.14318,-2.77182,3.106408798661245,-106.69924423399362,2.998307293257314,-112.41268946863428,3,2,2,10,0.2505600000000001,-0.2035800000000001,0.10810150540393115,5.713445234640659,0.0016576171755052405,0.24308465977060764
hb,A,1.91052,-4.6197,-2.22372,4.1499,292,320,good,4,-1.91052,4.6197,4.708141952872704,118.18458966800145,4.999171407383428,112.46799697245953,5,7,3,23,-0.31320000000000014,-0.4698000000000002,-0.29102945451072415,5.7165926955419195,-0.8311536652362462,0.6208148470697045
hb,A,4.6197,-1.91052,-3.9933,1.0962,337,320,good,4,-4.6197,1.91052,4.141026361905947,164.6498635075756,4.999171407383428,157.53200302754047,5,8,3,24,0.6263999999999998,-0.8143199999999999,-0.8581450454774808,7.1178604800351195,-1.025125044120197,0.6066851381628645
hb,A,0.37584,0.92394,-0.34452,-0.89262,67,64,good,4,-0.37584,-0.92394,0.9567990880012376,-111.10483858492964,0.9974571816373874,-112.13549187810035,1,2,1,2,0.031320000000000014,0.031320000000000014,-0.040658093636149806,1.0306532931707153,0.11348027476348023,0.19607815818384305
hb,A,-1.14318,2.77182,1.04922,-2.14542,112,192,good,4,1.14318,-2.77182,2.3882398507687626,-63.93900426024007,2.998307293257314,-67.58731053136572,3,3,2,11,-0.09396000000000004,0.6263999999999998,-0.6100674424885515,3.648306271125648,0.001325866628191238,0.4883851980380132
hb,A,0.92394,0.37584,-0.783,-0.45414,22,64,good,4,-0.92394,-0.37584,0.9051696744809782,-149.88626684901757,0.9974571816373874,-157.86450812189966,1,1,1,1,0.14093999999999995,-0.07829999999999998,-0.09228750715640921,7.978241272882087,-0.0576883638699853,0.30643800549199224
hb,A,-6.46758,-2.67786,5.9977800000000006,2.95974,202,448,good,4,6.46758,2.67786,6.688305151232262,26.26507601477408,7.000037516756607,22.49168668421689,7,5,4,29,-0.46979999999999933,0.28188000000000013,-0.31173236552434513,3.7733893305571904,-0.7892300153774046,0.4264990236227988
hb,A,-0.37584,-0.92394,0.42282000000000003,0.98658,247,64,good,4,0.37584,0.92394,1.0733670615404591,66.80140948635182,0.9974571816373874,67.86450812189965,1,6,1,6,0.04698000000000002,0.06264000000000003,0.07590987990307174,-1.0630986355478313,0.17712328330804666,0.2036823347122733
hb,A,-4.6197,1.91052,4.29084,-1.94184,157,320,good,4,4.6197,-1.91052,4.7097824250383375,-24.349355340488763,4.999171407383428,-22.46799697245953,5,4,3,20,-0.3288599999999997,-0.031320000000000014,-0.28938898234509036,-1.8813583680292325,-0.21745535798706936,0.7773874027216449
hb,A,-4.6197,-1.91052,4.43178,2.08278,202,320,good,4,4.6197,1.91052,4.896799617791196,25.171866228692217,4.999171407383428,22.46799697245953,5,5,3,21,-0.1879200000000001,0.17226000000000008,-0.10237178959223225,2.703869256232686,-0.28423861097522773,0.4249762449253365
